day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,2,1,2.0,2020-03-12
51,5,3,2.5,2020-03-13
52,5,0,1.0,2020-03-14
53,6,1,1.2,2020-03-15
54,18,12,3.0,2020-03-16
55,47,29,2.611,2020-03-17
56,98,51,2.085,2020-03-18
57,192,94,1.959,2020-03-19
58,359,167,1.869,2020-03-20
59,670,311,1.866,2020-03-21
60,1236,566,1.844,2020-03-22
61,1529,293,1.237,2020-03-23
62,1872,343,1.224,2020-03-24
63,2433,561,1.299,2020-03-25
64,3629,1196,1.491,2020-03-26
65,5698,2069,1.570,2020-03-27
66,7402,1704,1.299,2020-03-28
67,9217,1815,1.245,2020-03-29
68,10827,1610,1.174,2020-03-30
