day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,2,1,2.0,2020-01-24
3,2,0,1.0,2020-01-25
4,5,3,2.5,2020-01-26
5,5,0,1.0,2020-01-27
6,5,0,1.0,2020-01-28
7,5,0,1.0,2020-01-29
8,5,0,1.0,2020-01-30
9,7,2,1.4,2020-01-31
10,8,1,1.142,2020-02-01
11,8,0,1.0,2020-02-02
12,11,3,1.375,2020-02-03
13,11,0,1.0,2020-02-04
14,11,0,1.0,2020-02-05
15,11,0,1.0,2020-02-06
16,11,0,1.0,2020-02-07
17,11,0,1.0,2020-02-08
18,11,0,1.0,2020-02-09
19,11,0,1.0,2020-02-10
20,12,1,1.090,2020-02-11
21,12,0,1.0,2020-02-12
22,13,1,1.083,2020-02-13
23,13,0,1.0,2020-02-14
24,13,0,1.0,2020-02-15
25,13,0,1.0,2020-02-16
26,13,0,1.0,2020-02-17
27,13,0,1.0,2020-02-18
28,13,0,1.0,2020-02-19
29,13,0,1.0,2020-02-20
30,15,2,1.153,2020-02-21
31,15,0,1.0,2020-02-22
32,15,0,1.0,2020-02-23
33,51,36,3.4,2020-02-24
34,51,0,1.0,2020-02-25
35,57,6,1.117,2020-02-26
36,58,1,1.017,2020-02-27
37,60,2,1.034,2020-02-28
38,68,8,1.133,2020-02-29
39,74,6,1.088,2020-03-01
40,98,24,1.324,2020-03-02
41,118,20,1.204,2020-03-03
42,149,31,1.262,2020-03-04
43,217,68,1.456,2020-03-05
44,262,45,1.207,2020-03-06
45,402,140,1.534,2020-03-07
46,518,116,1.288,2020-03-08
47,583,65,1.125,2020-03-09
48,959,376,1.644,2020-03-10
49,1281,322,1.335,2020-03-11
50,1663,382,1.298,2020-03-12
51,2179,516,1.310,2020-03-13
52,2727,548,1.251,2020-03-14
53,3499,772,1.283,2020-03-15
54,4632,1133,1.323,2020-03-16
55,6421,1789,1.386,2020-03-17
56,7783,1362,1.212,2020-03-18
57,13747,5964,1.766,2020-03-19
58,19273,5526,1.401,2020-03-20
59,25600,6327,1.328,2020-03-21
60,33276,7676,1.299,2020-03-22
61,43847,10571,1.317,2020-03-23
62,53740,9893,1.225,2020-03-24
63,65778,12038,1.224,2020-03-25
64,83836,18058,1.274,2020-03-26
65,101657,17821,1.212,2020-03-27
66,121465,19808,1.194,2020-03-28
67,140909,19444,1.160,2020-03-29
68,161831,20922,1.148,2020-03-30
69,188172,26341,1.162,2020-03-31
70,213372,25200,1.133,2020-04-01
71,243762,30390,1.142,2020-04-02
72,275586,31824,1.130,2020-04-03
73,308853,33267,1.120,2020-04-04
74,337072,28219,1.091,2020-04-05
75,366667,29595,1.087,2020-04-06
76,396223,29556,1.080,2020-04-07
77,429052,32829,1.082,2020-04-08
78,461437,32385,1.075,2020-04-09
79,496535,35098,1.076,2020-04-10
80,526396,29861,1.060,2020-04-11
81,555313,28917,1.054,2020-04-12
