day,cases,cases_new,growth,date
33,36,36,1.0,2020-02-24
34,36,0,1.0,2020-02-25
35,42,6,1.166,2020-02-26
36,42,0,1.0,2020-02-27
37,44,2,1.047,2020-02-28
38,44,0,1.0,2020-02-29
39,44,0,1.0,2020-03-01
40,45,1,1.022,2020-03-02
41,45,0,1.0,2020-03-03
42,45,0,1.0,2020-03-04
43,45,0,1.0,2020-03-05
44,45,0,1.0,2020-03-06
45,45,0,1.0,2020-03-07
46,45,0,1.0,2020-03-08
47,45,0,1.0,2020-03-09
48,46,1,1.022,2020-03-10
49,46,0,1.0,2020-03-11
50,46,0,1.0,2020-03-12
51,46,0,1.0,2020-03-13
52,46,0,1.0,2020-03-14
53,46,0,1.0,2020-03-15
54,47,1,1.021,2020-03-16
55,47,0,1.0,2020-03-17
56,47,0,1.0,2020-03-18
57,47,0,1.0,2020-03-19
58,49,2,1.042,2020-03-20
59,49,0,1.0,2020-03-21
60,49,0,1.0,2020-03-22
