day,cases,cases_new,growth,date
59,1,1,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,9,8,9.0,2020-03-23
62,9,0,1.0,2020-03-24
63,14,5,1.555,2020-03-25
64,14,0,1.0,2020-03-26
65,23,9,1.642,2020-03-27
66,30,7,1.304,2020-03-28
67,33,3,1.1,2020-03-29
68,33,0,1.0,2020-03-30
69,44,11,1.333,2020-03-31
70,44,0,1.0,2020-04-01
71,45,1,1.022,2020-04-02
72,48,3,1.066,2020-04-03
73,48,0,1.0,2020-04-04
74,52,4,1.083,2020-04-05
75,52,0,1.0,2020-04-06
76,52,0,1.0,2020-04-07
77,53,1,1.019,2020-04-08
78,53,0,1.0,2020-04-09
79,53,0,1.0,2020-04-10
80,53,0,1.0,2020-04-11
81,54,1,1.018,2020-04-12
82,54,0,1.0,2020-04-13
83,55,1,1.018,2020-04-14
84,55,0,1.0,2020-04-15
85,55,0,1.0,2020-04-16
86,56,1,1.018,2020-04-17
87,55,-1,0.982,2020-04-18
88,55,0,1.0,2020-04-19
89,56,1,1.018,2020-04-20
90,61,5,1.089,2020-04-21
91,63,2,1.032,2020-04-22
92,74,11,1.174,2020-04-23
93,75,1,1.013,2020-04-24
94,75,0,1.0,2020-04-25
95,79,4,1.053,2020-04-26
96,79,0,1.0,2020-04-27
97,79,0,1.0,2020-04-28
98,81,2,1.025,2020-04-29
99,83,2,1.024,2020-04-30
100,85,2,1.024,2020-05-01
101,88,3,1.035,2020-05-02
102,89,1,1.011,2020-05-03
103,97,8,1.089,2020-05-04
104,98,1,1.010,2020-05-05
105,100,2,1.020,2020-05-06
106,101,1,1.01,2020-05-07
107,101,0,1.0,2020-05-08
108,116,15,1.148,2020-05-09
109,121,5,1.043,2020-05-10
110,121,0,1.0,2020-05-11
111,129,8,1.066,2020-05-12
112,139,10,1.077,2020-05-13
113,160,21,1.151,2020-05-14
114,203,43,1.268,2020-05-15
115,227,24,1.118,2020-05-16
116,227,0,1.0,2020-05-17
117,248,21,1.092,2020-05-18
118,260,12,1.048,2020-05-19
119,264,4,1.015,2020-05-20
120,160,-104,0.606,2020-05-21
121,175,15,1.093,2020-05-22
122,198,23,1.131,2020-05-23
123,198,0,1.0,2020-05-24
