day,cases,cases_new,growth,date
41,1,1,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,3,2,3.0,2020-03-13
52,3,0,1.0,2020-03-14
53,3,0,1.0,2020-03-15
54,7,4,2.333,2020-03-16
55,14,7,2.0,2020-03-17
56,14,0,1.0,2020-03-18
57,16,2,1.142,2020-03-19
58,29,13,1.812,2020-03-20
59,47,18,1.620,2020-03-21
60,73,26,1.553,2020-03-22
61,73,0,1.0,2020-03-23
62,97,24,1.328,2020-03-24
63,145,48,1.494,2020-03-25
64,196,51,1.351,2020-03-26
65,310,114,1.581,2020-03-27
66,356,46,1.148,2020-03-28
67,475,119,1.334,2020-03-29
68,548,73,1.153,2020-03-30
69,645,97,1.177,2020-03-31
70,794,149,1.231,2020-04-01
71,897,103,1.129,2020-04-02
72,1072,175,1.195,2020-04-03
