day,cases,cases_new,growth,date
7,4,4,1.0,2020-01-29
8,4,0,1.0,2020-01-30
9,4,0,1.0,2020-01-31
10,4,0,1.0,2020-02-01
11,5,1,1.25,2020-02-02
12,5,0,1.0,2020-02-03
13,5,0,1.0,2020-02-04
14,5,0,1.0,2020-02-05
15,5,0,1.0,2020-02-06
16,5,0,1.0,2020-02-07
17,7,2,1.4,2020-02-08
18,7,0,1.0,2020-02-09
19,8,1,1.142,2020-02-10
20,8,0,1.0,2020-02-11
21,8,0,1.0,2020-02-12
22,8,0,1.0,2020-02-13
23,8,0,1.0,2020-02-14
24,8,0,1.0,2020-02-15
25,9,1,1.125,2020-02-16
26,9,0,1.0,2020-02-17
27,9,0,1.0,2020-02-18
28,9,0,1.0,2020-02-19
29,9,0,1.0,2020-02-20
30,9,0,1.0,2020-02-21
31,13,4,1.444,2020-02-22
32,13,0,1.0,2020-02-23
33,13,0,1.0,2020-02-24
34,13,0,1.0,2020-02-25
35,13,0,1.0,2020-02-26
36,13,0,1.0,2020-02-27
37,19,6,1.461,2020-02-28
38,21,2,1.105,2020-02-29
39,21,0,1.0,2020-03-01
40,21,0,1.0,2020-03-02
41,27,6,1.285,2020-03-03
42,27,0,1.0,2020-03-04
43,29,2,1.074,2020-03-05
44,29,0,1.0,2020-03-06
45,45,16,1.551,2020-03-07
46,45,0,1.0,2020-03-08
47,45,0,1.0,2020-03-09
48,74,29,1.644,2020-03-10
49,74,0,1.0,2020-03-11
50,85,11,1.148,2020-03-12
51,85,0,1.0,2020-03-13
52,85,0,1.0,2020-03-14
53,98,13,1.152,2020-03-15
54,98,0,1.0,2020-03-16
55,98,0,1.0,2020-03-17
56,113,15,1.153,2020-03-18
57,140,27,1.238,2020-03-19
58,140,0,1.0,2020-03-20
59,153,13,1.092,2020-03-21
60,153,0,1.0,2020-03-22
61,198,45,1.294,2020-03-23
62,248,50,1.252,2020-03-24
63,333,85,1.342,2020-03-25
64,333,0,1.0,2020-03-26
65,405,72,1.216,2020-03-27
66,468,63,1.155,2020-03-28
67,570,102,1.217,2020-03-29
68,611,41,1.071,2020-03-30
69,664,53,1.086,2020-03-31
70,814,150,1.225,2020-04-01
71,1024,210,1.257,2020-04-02
72,1264,240,1.234,2020-04-03
73,1505,241,1.190,2020-04-04
74,1799,294,1.195,2020-04-05
75,2076,277,1.153,2020-04-06
76,2359,283,1.136,2020-04-07
77,2659,300,1.127,2020-04-08
78,2990,331,1.124,2020-04-09
79,3360,370,1.123,2020-04-10
80,3736,376,1.111,2020-04-11
81,4123,387,1.103,2020-04-12
82,4521,398,1.096,2020-04-13
83,4933,412,1.091,2020-04-14
84,5365,432,1.087,2020-04-15
85,5825,460,1.085,2020-04-16
86,6302,477,1.081,2020-04-17
87,6302,0,1.0,2020-04-18
88,6781,479,1.076,2020-04-19
89,7265,484,1.071,2020-04-20
90,7755,490,1.067,2020-04-21
91,8238,483,1.062,2020-04-22
92,8756,518,1.062,2020-04-23
