day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,3,1,1.5,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,8,5,2.666,2020-02-10
20,8,0,1.0,2020-02-11
21,9,1,1.125,2020-02-12
22,9,0,1.0,2020-02-13
23,9,0,1.0,2020-02-14
24,9,0,1.0,2020-02-15
25,9,0,1.0,2020-02-16
26,9,0,1.0,2020-02-17
27,9,0,1.0,2020-02-18
28,9,0,1.0,2020-02-19
29,9,0,1.0,2020-02-20
30,9,0,1.0,2020-02-21
31,9,0,1.0,2020-02-22
32,9,0,1.0,2020-02-23
33,13,4,1.444,2020-02-24
34,13,0,1.0,2020-02-25
35,13,0,1.0,2020-02-26
36,15,2,1.153,2020-02-27
37,20,5,1.333,2020-02-28
38,23,3,1.15,2020-02-29
39,36,13,1.565,2020-03-01
40,40,4,1.111,2020-03-02
41,51,11,1.275,2020-03-03
42,85,34,1.666,2020-03-04
43,115,30,1.352,2020-03-05
44,163,48,1.417,2020-03-06
45,206,43,1.263,2020-03-07
46,273,67,1.325,2020-03-08
47,321,48,1.175,2020-03-09
48,382,61,1.190,2020-03-10
49,456,74,1.193,2020-03-11
50,570,114,1.25,2020-03-12
51,798,228,1.4,2020-03-13
52,1061,263,1.329,2020-03-14
53,1391,330,1.311,2020-03-15
54,1543,152,1.109,2020-03-16
55,1950,407,1.263,2020-03-17
56,2626,676,1.346,2020-03-18
57,3269,643,1.244,2020-03-19
58,3983,714,1.218,2020-03-20
59,5018,1035,1.259,2020-03-21
60,5683,665,1.132,2020-03-22
61,6650,967,1.170,2020-03-23
62,8077,1427,1.214,2020-03-24
63,9529,1452,1.179,2020-03-25
64,11658,2129,1.223,2020-03-26
65,14543,2885,1.247,2020-03-27
66,17089,2546,1.175,2020-03-28
67,19522,2433,1.142,2020-03-29
68,22141,2619,1.134,2020-03-30
69,25150,3009,1.135,2020-03-31
70,29474,4324,1.171,2020-04-01
71,33718,4244,1.143,2020-04-02
72,38168,4450,1.131,2020-04-03
73,41903,3735,1.097,2020-04-04
74,47806,5903,1.140,2020-04-05
75,51608,3802,1.079,2020-04-06
76,55242,3634,1.070,2020-04-07
77,60733,5491,1.099,2020-04-08
78,65077,4344,1.071,2020-04-09
79,73758,8681,1.133,2020-04-10
80,78991,5233,1.070,2020-04-11
81,84279,5288,1.066,2020-04-12
82,88621,4342,1.051,2020-04-13
83,93873,5252,1.059,2020-04-14
84,98476,4603,1.049,2020-04-15
85,103093,4617,1.046,2020-04-16
86,108692,5599,1.054,2020-04-17
87,114217,5525,1.050,2020-04-18
88,120067,5850,1.051,2020-04-19
89,124743,4676,1.038,2020-04-20
90,129044,4301,1.034,2020-04-21
91,133495,4451,1.034,2020-04-22
92,138078,4583,1.034,2020-04-23
93,143464,5386,1.039,2020-04-24
94,148377,4913,1.034,2020-04-25
95,152840,4463,1.030,2020-04-26
96,157149,4309,1.028,2020-04-27
97,161145,3996,1.025,2020-04-28
98,165221,4076,1.025,2020-04-29
99,171253,6032,1.036,2020-04-30
100,177454,6201,1.036,2020-05-01
101,182260,4806,1.027,2020-05-02
102,186599,4339,1.023,2020-05-03
103,190584,3985,1.021,2020-05-04
104,194990,4406,1.023,2020-05-05
105,201101,6111,1.031,2020-05-06
106,206715,5614,1.027,2020-05-07
107,211364,4649,1.022,2020-05-08
108,215260,3896,1.018,2020-05-09
109,219183,3923,1.018,2020-05-10
110,223060,3877,1.017,2020-05-11
111,226463,3403,1.015,2020-05-12
112,229705,3242,1.014,2020-05-13
113,233151,3446,1.015,2020-05-14
114,236711,3560,1.015,2020-05-15
115,240161,3450,1.014,2020-05-16
116,243695,3534,1.014,2020-05-17
117,246406,2711,1.011,2020-05-18
118,248818,2412,1.009,2020-05-19
119,248293,-525,0.997,2020-05-20
120,250908,2615,1.010,2020-05-21
121,254195,3287,1.013,2020-05-22
122,257154,2959,1.011,2020-05-23
123,259559,2405,1.009,2020-05-24
