day,cases,cases_new,growth,date
66,2,2,1.0,2020-03-28
67,2,0,1.0,2020-03-29
68,2,0,1.0,2020-03-30
69,2,0,1.0,2020-03-31
70,2,0,1.0,2020-04-01
71,3,1,1.5,2020-04-02
72,3,0,1.0,2020-04-03
73,3,0,1.0,2020-04-04
74,3,0,1.0,2020-04-05
75,3,0,1.0,2020-04-06
76,3,0,1.0,2020-04-07
77,3,0,1.0,2020-04-08
78,3,0,1.0,2020-04-09
79,3,0,1.0,2020-04-10
80,3,0,1.0,2020-04-11
81,3,0,1.0,2020-04-12
82,3,0,1.0,2020-04-13
83,3,0,1.0,2020-04-14
84,3,0,1.0,2020-04-15
85,3,0,1.0,2020-04-16
86,3,0,1.0,2020-04-17
87,3,0,1.0,2020-04-18
88,3,0,1.0,2020-04-19
89,3,0,1.0,2020-04-20
90,3,0,1.0,2020-04-21
91,3,0,1.0,2020-04-22
92,3,0,1.0,2020-04-23
