day,cases,cases_new,growth,date
57,2,2,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,6,4,3.0,2020-03-22
61,6,0,1.0,2020-03-23
62,6,0,1.0,2020-03-24
63,7,1,1.166,2020-03-25
64,15,8,2.142,2020-03-26
65,17,2,1.133,2020-03-27
66,17,0,1.0,2020-03-28
67,22,5,1.294,2020-03-29
68,27,5,1.227,2020-03-30
69,32,5,1.185,2020-03-31
70,32,0,1.0,2020-04-01
71,35,3,1.093,2020-04-02
72,35,0,1.0,2020-04-03
73,35,0,1.0,2020-04-04
74,37,2,1.057,2020-04-05
75,39,2,1.054,2020-04-06
76,39,0,1.0,2020-04-07
77,39,0,1.0,2020-04-08
78,48,9,1.230,2020-04-09
79,48,0,1.0,2020-04-10
80,48,0,1.0,2020-04-11
81,57,9,1.187,2020-04-12
82,57,0,1.0,2020-04-13
83,57,0,1.0,2020-04-14
84,81,24,1.421,2020-04-15
85,81,0,1.0,2020-04-16
86,83,2,1.024,2020-04-17
87,83,0,1.0,2020-04-18
88,86,3,1.036,2020-04-19
89,86,0,1.0,2020-04-20
90,86,0,1.0,2020-04-21
91,99,13,1.151,2020-04-22
92,99,0,1.0,2020-04-23
93,99,0,1.0,2020-04-24
94,109,10,1.101,2020-04-25
95,109,0,1.0,2020-04-26
96,110,1,1.009,2020-04-27
97,110,0,1.0,2020-04-28
98,111,1,1.009,2020-04-29
99,114,3,1.027,2020-04-30
100,114,0,1.0,2020-05-01
101,114,0,1.0,2020-05-02
102,115,1,1.008,2020-05-03
103,115,0,1.0,2020-05-04
104,115,0,1.0,2020-05-05
105,118,3,1.026,2020-05-06
106,118,0,1.0,2020-05-07
107,118,0,1.0,2020-05-08
108,118,0,1.0,2020-05-09
109,118,0,1.0,2020-05-10
110,119,1,1.008,2020-05-11
111,121,2,1.016,2020-05-12
112,121,0,1.0,2020-05-13
113,122,1,1.008,2020-05-14
114,122,0,1.0,2020-05-15
115,123,1,1.008,2020-05-16
116,123,0,1.0,2020-05-17
117,125,2,1.016,2020-05-18
118,125,0,1.0,2020-05-19
119,125,0,1.0,2020-05-20
120,125,0,1.0,2020-05-21
121,128,3,1.024,2020-05-22
122,128,0,1.0,2020-05-23
123,133,5,1.039,2020-05-24
