day,cases,cases_new,growth,date
66,2,2,1.0,2020-03-28
67,2,0,1.0,2020-03-29
68,2,0,1.0,2020-03-30
69,3,1,1.5,2020-03-31
70,3,0,1.0,2020-04-01
71,3,0,1.0,2020-04-02
72,3,0,1.0,2020-04-03
73,3,0,1.0,2020-04-04
74,3,0,1.0,2020-04-05
75,3,0,1.0,2020-04-06
76,3,0,1.0,2020-04-07
77,3,0,1.0,2020-04-08
78,3,0,1.0,2020-04-09
79,3,0,1.0,2020-04-10
80,3,0,1.0,2020-04-11
81,3,0,1.0,2020-04-12
82,3,0,1.0,2020-04-13
83,3,0,1.0,2020-04-14
84,3,0,1.0,2020-04-15
85,3,0,1.0,2020-04-16
86,4,1,1.333,2020-04-17
87,4,0,1.0,2020-04-18
88,4,0,1.0,2020-04-19
89,5,1,1.25,2020-04-20
90,5,0,1.0,2020-04-21
91,5,0,1.0,2020-04-22
92,5,0,1.0,2020-04-23
93,5,0,1.0,2020-04-24
94,6,1,1.2,2020-04-25
95,6,0,1.0,2020-04-26
96,6,0,1.0,2020-04-27
97,6,0,1.0,2020-04-28
98,6,0,1.0,2020-04-29
99,6,0,1.0,2020-04-30
100,6,0,1.0,2020-05-01
101,6,0,1.0,2020-05-02
102,6,0,1.0,2020-05-03
103,6,0,1.0,2020-05-04
104,6,0,1.0,2020-05-05
105,7,1,1.166,2020-05-06
106,7,0,1.0,2020-05-07
107,7,0,1.0,2020-05-08
108,7,0,1.0,2020-05-09
109,7,0,1.0,2020-05-10
110,7,0,1.0,2020-05-11
111,7,0,1.0,2020-05-12
112,7,0,1.0,2020-05-13
113,7,0,1.0,2020-05-14
114,8,1,1.142,2020-05-15
115,8,0,1.0,2020-05-16
116,8,0,1.0,2020-05-17
117,8,0,1.0,2020-05-18
118,8,0,1.0,2020-05-19
119,8,0,1.0,2020-05-20
120,8,0,1.0,2020-05-21
121,8,0,1.0,2020-05-22
122,8,0,1.0,2020-05-23
123,8,0,1.0,2020-05-24
