day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,3,2,3.0,2020-03-19
58,3,0,1.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,5,2,1.666,2020-03-23
62,6,1,1.2,2020-03-24
63,8,2,1.333,2020-03-25
64,8,0,1.0,2020-03-26
65,8,0,1.0,2020-03-27
66,8,0,1.0,2020-03-28
67,8,0,1.0,2020-03-29
68,12,4,1.5,2020-03-30
69,14,2,1.166,2020-03-31
70,22,8,1.571,2020-04-01
71,28,6,1.272,2020-04-02
72,28,0,1.0,2020-04-03
