day,cases,cases_new,growth,date
48,1,1,1.0,2020-03-10
49,2,1,2.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,3,1,1.5,2020-03-15
54,6,3,2.0,2020-03-16
55,6,0,1.0,2020-03-17
56,6,0,1.0,2020-03-18
57,11,5,1.833,2020-03-19
58,14,3,1.272,2020-03-20
59,32,18,2.285,2020-03-21
60,32,0,1.0,2020-03-22
61,36,4,1.125,2020-03-23
62,36,0,1.0,2020-03-24
63,46,10,1.277,2020-03-25
64,66,20,1.434,2020-03-26
65,88,22,1.333,2020-03-27
66,97,9,1.102,2020-03-28
67,108,11,1.113,2020-03-29
68,141,33,1.305,2020-03-30
69,141,0,1.0,2020-03-31
70,172,31,1.219,2020-04-01
71,193,21,1.122,2020-04-02
72,232,39,1.202,2020-04-03
73,262,30,1.129,2020-04-04
74,309,47,1.179,2020-04-05
75,323,14,1.045,2020-04-06
76,335,12,1.037,2020-04-07
77,351,16,1.047,2020-04-08
78,361,10,1.028,2020-04-09
79,398,37,1.102,2020-04-10
80,407,9,1.022,2020-04-11
81,431,24,1.058,2020-04-12
82,436,5,1.011,2020-04-13
83,440,4,1.009,2020-04-14
84,447,7,1.015,2020-04-15
85,457,10,1.022,2020-04-16
86,470,13,1.028,2020-04-17
87,484,14,1.029,2020-04-18
88,488,4,1.008,2020-04-19
89,488,0,1.0,2020-04-20
90,496,8,1.016,2020-04-21
91,498,2,1.004,2020-04-22
92,521,23,1.046,2020-04-23
