day,cases,cases_new,growth,date
73,1,1,1.0,2020-04-04
74,2,1,2.0,2020-04-05
75,2,0,1.0,2020-04-06
76,2,0,1.0,2020-04-07
77,5,3,2.5,2020-04-08
78,5,0,1.0,2020-04-09
79,5,0,1.0,2020-04-10
80,5,0,1.0,2020-04-11
81,5,0,1.0,2020-04-12
82,5,0,1.0,2020-04-13
83,11,6,2.2,2020-04-14
84,11,0,1.0,2020-04-15
85,11,0,1.0,2020-04-16
86,11,0,1.0,2020-04-17
87,11,0,1.0,2020-04-18
88,11,0,1.0,2020-04-19
89,11,0,1.0,2020-04-20
90,11,0,1.0,2020-04-21
91,11,0,1.0,2020-04-22
92,12,1,1.090,2020-04-23
93,13,1,1.083,2020-04-24
94,13,0,1.0,2020-04-25
95,13,0,1.0,2020-04-26
96,13,0,1.0,2020-04-27
97,13,0,1.0,2020-04-28
98,13,0,1.0,2020-04-29
99,13,0,1.0,2020-04-30
100,13,0,1.0,2020-05-01
101,13,0,1.0,2020-05-02
102,13,0,1.0,2020-05-03
103,13,0,1.0,2020-05-04
104,13,0,1.0,2020-05-05
105,13,0,1.0,2020-05-06
106,13,0,1.0,2020-05-07
107,13,0,1.0,2020-05-08
108,13,0,1.0,2020-05-09
109,13,0,1.0,2020-05-10
110,13,0,1.0,2020-05-11
111,13,0,1.0,2020-05-12
112,13,0,1.0,2020-05-13
113,13,0,1.0,2020-05-14
114,13,0,1.0,2020-05-15
115,13,0,1.0,2020-05-16
116,13,0,1.0,2020-05-17
117,13,0,1.0,2020-05-18
118,13,0,1.0,2020-05-19
119,13,0,1.0,2020-05-20
120,13,0,1.0,2020-05-21
121,13,0,1.0,2020-05-22
122,13,0,1.0,2020-05-23
123,13,0,1.0,2020-05-24
