day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,5,4,5.0,2020-03-22
61,13,8,2.6,2020-03-23
62,23,10,1.769,2020-03-24
63,23,0,1.0,2020-03-25
64,25,2,1.086,2020-03-26
65,29,4,1.16,2020-03-27
66,32,3,1.103,2020-03-28
67,42,10,1.312,2020-03-29
68,49,7,1.166,2020-03-30
69,60,11,1.224,2020-03-31
70,68,8,1.133,2020-04-01
71,95,27,1.397,2020-04-02
72,114,19,1.2,2020-04-03
73,126,12,1.105,2020-04-04
74,127,1,1.007,2020-04-05
75,139,12,1.094,2020-04-06
76,150,11,1.079,2020-04-07
77,158,8,1.053,2020-04-08
78,190,32,1.202,2020-04-09
79,201,11,1.057,2020-04-10
80,226,25,1.124,2020-04-11
81,228,2,1.008,2020-04-12
82,242,14,1.061,2020-04-13
83,254,12,1.049,2020-04-14
84,256,2,1.007,2020-04-15
85,284,28,1.109,2020-04-16
86,291,7,1.024,2020-04-17
87,297,6,1.020,2020-04-18
88,298,1,1.003,2020-04-19
89,300,2,1.006,2020-04-20
90,307,7,1.023,2020-04-21
91,307,0,1.0,2020-04-22
92,307,0,1.0,2020-04-23
93,308,1,1.003,2020-04-24
94,308,0,1.0,2020-04-25
95,308,0,1.0,2020-04-26
96,308,0,1.0,2020-04-27
97,309,1,1.003,2020-04-28
98,313,4,1.012,2020-04-29
99,315,2,1.006,2020-04-30
100,316,1,1.003,2020-05-01
101,320,4,1.012,2020-05-02
102,321,1,1.003,2020-05-03
103,325,4,1.012,2020-05-04
104,326,1,1.003,2020-05-05
105,327,1,1.003,2020-05-06
106,329,2,1.006,2020-05-07
107,329,0,1.0,2020-05-08
108,329,0,1.0,2020-05-09
109,330,1,1.003,2020-05-10
110,330,0,1.0,2020-05-11
111,331,1,1.003,2020-05-12
112,332,1,1.003,2020-05-13
113,332,0,1.0,2020-05-14
114,334,2,1.006,2020-05-15
115,335,1,1.002,2020-05-16
116,335,0,1.0,2020-05-17
117,335,0,1.0,2020-05-18
118,335,0,1.0,2020-05-19
119,336,1,1.002,2020-05-20
120,336,0,1.0,2020-05-21
121,336,0,1.0,2020-05-22
122,336,0,1.0,2020-05-23
123,336,0,1.0,2020-05-24
