day,cases,cases_new,growth,date
56,1,1,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,1,0,1.0,2020-03-24
63,1,0,1.0,2020-03-25
64,5,4,5.0,2020-03-26
65,5,0,1.0,2020-03-27
66,5,0,1.0,2020-03-28
67,5,0,1.0,2020-03-29
68,5,0,1.0,2020-03-30
69,5,0,1.0,2020-03-31
70,5,0,1.0,2020-04-01
71,5,0,1.0,2020-04-02
72,6,1,1.2,2020-04-03
73,6,0,1.0,2020-04-04
74,6,0,1.0,2020-04-05
75,6,0,1.0,2020-04-06
76,9,3,1.5,2020-04-07
77,9,0,1.0,2020-04-08
78,9,0,1.0,2020-04-09
79,9,0,1.0,2020-04-10
80,9,0,1.0,2020-04-11
81,9,0,1.0,2020-04-12
82,11,2,1.222,2020-04-13
83,11,0,1.0,2020-04-14
84,11,0,1.0,2020-04-15
85,11,0,1.0,2020-04-16
86,11,0,1.0,2020-04-17
87,11,0,1.0,2020-04-18
88,11,0,1.0,2020-04-19
89,11,0,1.0,2020-04-20
90,11,0,1.0,2020-04-21
91,11,0,1.0,2020-04-22
92,11,0,1.0,2020-04-23
