day,cases,cases_new,growth,date
66,4,4,1.0,2020-03-28
67,4,0,1.0,2020-03-29
68,5,1,1.25,2020-03-30
69,5,0,1.0,2020-03-31
70,6,1,1.2,2020-04-01
71,5,-1,0.833,2020-04-02
72,5,0,1.0,2020-04-03
73,5,0,1.0,2020-04-04
74,5,0,1.0,2020-04-05
75,8,3,1.6,2020-04-06
76,8,0,1.0,2020-04-07
77,8,0,1.0,2020-04-08
78,8,0,1.0,2020-04-09
79,8,0,1.0,2020-04-10
80,8,0,1.0,2020-04-11
81,9,1,1.125,2020-04-12
82,10,1,1.111,2020-04-13
83,10,0,1.0,2020-04-14
84,10,0,1.0,2020-04-15
85,11,1,1.1,2020-04-16
86,11,0,1.0,2020-04-17
87,11,0,1.0,2020-04-18
88,11,0,1.0,2020-04-19
89,11,0,1.0,2020-04-20
90,11,0,1.0,2020-04-21
91,11,0,1.0,2020-04-22
92,11,0,1.0,2020-04-23
