day,cases,cases_new,growth,date
9,2,2,1.0,2020-01-31
10,2,0,1.0,2020-02-01
11,2,0,1.0,2020-02-02
12,2,0,1.0,2020-02-03
13,2,0,1.0,2020-02-04
14,2,0,1.0,2020-02-05
15,2,0,1.0,2020-02-06
16,3,1,1.5,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,8,5,2.666,2020-02-10
20,8,0,1.0,2020-02-11
21,9,1,1.125,2020-02-12
22,9,0,1.0,2020-02-13
23,9,0,1.0,2020-02-14
24,9,0,1.0,2020-02-15
25,9,0,1.0,2020-02-16
26,9,0,1.0,2020-02-17
27,9,0,1.0,2020-02-18
28,9,0,1.0,2020-02-19
29,9,0,1.0,2020-02-20
30,9,0,1.0,2020-02-21
31,9,0,1.0,2020-02-22
32,9,0,1.0,2020-02-23
33,13,4,1.444,2020-02-24
34,13,0,1.0,2020-02-25
35,13,0,1.0,2020-02-26
36,15,2,1.153,2020-02-27
37,20,5,1.333,2020-02-28
38,23,3,1.15,2020-02-29
39,36,13,1.565,2020-03-01
40,40,4,1.111,2020-03-02
41,51,11,1.275,2020-03-03
42,85,34,1.666,2020-03-04
43,115,30,1.352,2020-03-05
44,163,48,1.417,2020-03-06
45,206,43,1.263,2020-03-07
46,273,67,1.325,2020-03-08
47,321,48,1.175,2020-03-09
48,382,61,1.190,2020-03-10
49,456,74,1.193,2020-03-11
50,456,0,1.0,2020-03-12
51,798,342,1.75,2020-03-13
52,1140,342,1.428,2020-03-14
53,1140,0,1.0,2020-03-15
54,1543,403,1.353,2020-03-16
55,1950,407,1.263,2020-03-17
