day,cases,cases_new,growth,date
50,1,1,1.0,2020-03-12
51,4,3,4.0,2020-03-13
52,6,2,1.5,2020-03-14
53,8,2,1.333,2020-03-15
54,29,21,3.625,2020-03-16
55,50,21,1.724,2020-03-17
56,79,29,1.58,2020-03-18
57,94,15,1.189,2020-03-19
58,110,16,1.170,2020-03-20
59,135,25,1.227,2020-03-21
60,158,23,1.170,2020-03-22
61,162,4,1.025,2020-03-23
62,189,27,1.166,2020-03-24
63,217,28,1.148,2020-03-25
64,238,21,1.096,2020-03-26
65,274,36,1.151,2020-03-27
66,303,29,1.105,2020-03-28
67,309,6,1.019,2020-03-29
68,320,11,1.035,2020-03-30
69,338,18,1.056,2020-03-31
70,350,12,1.035,2020-04-01
71,369,19,1.054,2020-04-02
72,386,17,1.046,2020-04-03
73,400,14,1.036,2020-04-04
74,406,6,1.015,2020-04-05
75,415,9,1.022,2020-04-06
76,424,9,1.021,2020-04-07
77,456,32,1.075,2020-04-08
78,473,17,1.037,2020-04-09
79,494,21,1.044,2020-04-10
80,501,7,1.014,2020-04-11
81,480,-21,0.958,2020-04-12
82,483,3,1.006,2020-04-13
83,492,9,1.018,2020-04-14
84,493,1,1.002,2020-04-15
85,502,9,1.018,2020-04-16
86,508,6,1.011,2020-04-17
87,517,9,1.017,2020-04-18
88,528,11,1.021,2020-04-19
89,535,7,1.013,2020-04-20
90,543,8,1.014,2020-04-21
91,549,6,1.011,2020-04-22
92,557,8,1.014,2020-04-23
93,563,6,1.010,2020-04-24
94,596,33,1.058,2020-04-25
95,606,10,1.016,2020-04-26
96,620,14,1.023,2020-04-27
97,625,5,1.008,2020-04-28
98,630,5,1.008,2020-04-29
99,643,13,1.020,2020-04-30
100,648,5,1.007,2020-05-01
101,652,4,1.006,2020-05-02
102,655,3,1.004,2020-05-03
103,657,2,1.003,2020-05-04
104,670,13,1.019,2020-05-05
105,673,3,1.004,2020-05-06
106,684,11,1.016,2020-05-07
107,694,10,1.014,2020-05-08
108,702,8,1.011,2020-05-09
109,707,5,1.007,2020-05-10
110,711,4,1.005,2020-05-11
111,717,6,1.008,2020-05-12
112,719,2,1.002,2020-05-13
113,724,5,1.006,2020-05-14
114,732,8,1.011,2020-05-15
115,733,1,1.001,2020-05-16
116,734,1,1.001,2020-05-17
117,737,3,1.004,2020-05-18
118,738,1,1.001,2020-05-19
119,746,8,1.010,2020-05-20
120,749,3,1.004,2020-05-21
121,753,4,1.005,2020-05-22
122,764,11,1.014,2020-05-23
123,769,5,1.006,2020-05-24
