day,cases,cases_new,growth,date
52,2,2,1.0,2020-03-14
53,10,8,5.0,2020-03-15
54,17,7,1.7,2020-03-16
55,33,16,1.941,2020-03-17
56,36,3,1.090,2020-03-18
57,42,6,1.166,2020-03-19
58,42,0,1.0,2020-03-20
59,70,28,1.666,2020-03-21
60,70,0,1.0,2020-03-22
61,77,7,1.1,2020-03-23
62,84,7,1.090,2020-03-24
63,91,7,1.083,2020-03-25
64,107,16,1.175,2020-03-26
65,107,0,1.0,2020-03-27
66,119,12,1.112,2020-03-28
67,119,0,1.0,2020-03-29
68,135,16,1.134,2020-03-30
69,135,0,1.0,2020-03-31
70,143,8,1.059,2020-04-01
71,146,3,1.020,2020-04-02
72,153,7,1.047,2020-04-03
73,155,2,1.013,2020-04-04
74,159,4,1.025,2020-04-05
75,165,6,1.037,2020-04-06
76,165,0,1.0,2020-04-07
77,167,2,1.012,2020-04-08
78,171,4,1.023,2020-04-09
79,171,0,1.0,2020-04-10
80,175,4,1.023,2020-04-11
81,181,6,1.034,2020-04-12
82,189,8,1.044,2020-04-13
83,189,0,1.0,2020-04-14
84,197,8,1.042,2020-04-15
85,204,7,1.035,2020-04-16
86,204,0,1.0,2020-04-17
87,227,23,1.112,2020-04-18
88,256,29,1.127,2020-04-19
89,256,0,1.0,2020-04-20
90,285,29,1.113,2020-04-21
91,288,3,1.010,2020-04-22
92,311,23,1.079,2020-04-23
