day,cases,cases_new,growth,date
1,2,2,1.0,2020-01-23
2,2,0,1.0,2020-01-24
3,2,0,1.0,2020-01-25
4,2,0,1.0,2020-01-26
5,2,0,1.0,2020-01-27
6,2,0,1.0,2020-01-28
7,2,0,1.0,2020-01-29
8,2,0,1.0,2020-01-30
9,2,0,1.0,2020-01-31
10,6,4,3.0,2020-02-01
11,6,0,1.0,2020-02-02
12,8,2,1.333,2020-02-03
13,8,0,1.0,2020-02-04
14,8,0,1.0,2020-02-05
15,10,2,1.25,2020-02-06
16,10,0,1.0,2020-02-07
17,13,3,1.3,2020-02-08
18,13,0,1.0,2020-02-09
19,14,1,1.076,2020-02-10
20,15,1,1.071,2020-02-11
21,15,0,1.0,2020-02-12
22,16,1,1.066,2020-02-13
23,16,0,1.0,2020-02-14
24,16,0,1.0,2020-02-15
25,16,0,1.0,2020-02-16
26,16,0,1.0,2020-02-17
27,16,0,1.0,2020-02-18
28,16,0,1.0,2020-02-19
29,16,0,1.0,2020-02-20
30,16,0,1.0,2020-02-21
31,16,0,1.0,2020-02-22
32,16,0,1.0,2020-02-23
33,16,0,1.0,2020-02-24
34,16,0,1.0,2020-02-25
35,16,0,1.0,2020-02-26
36,16,0,1.0,2020-02-27
37,16,0,1.0,2020-02-28
38,16,0,1.0,2020-02-29
39,16,0,1.0,2020-03-01
40,16,0,1.0,2020-03-02
41,16,0,1.0,2020-03-03
42,16,0,1.0,2020-03-04
43,16,0,1.0,2020-03-05
44,16,0,1.0,2020-03-06
45,18,2,1.125,2020-03-07
46,30,12,1.666,2020-03-08
47,30,0,1.0,2020-03-09
48,31,1,1.033,2020-03-10
49,38,7,1.225,2020-03-11
50,39,1,1.026,2020-03-12
51,47,8,1.205,2020-03-13
52,53,6,1.127,2020-03-14
53,56,3,1.056,2020-03-15
54,61,5,1.089,2020-03-16
55,66,5,1.081,2020-03-17
56,75,9,1.136,2020-03-18
57,85,10,1.133,2020-03-19
58,91,6,1.070,2020-03-20
59,94,3,1.032,2020-03-21
60,113,19,1.202,2020-03-22
61,123,10,1.088,2020-03-23
62,134,11,1.089,2020-03-24
63,141,7,1.052,2020-03-25
64,153,12,1.085,2020-03-26
65,163,10,1.065,2020-03-27
66,174,11,1.067,2020-03-28
67,188,14,1.080,2020-03-29
68,203,15,1.079,2020-03-30
69,212,9,1.044,2020-03-31
70,218,6,1.028,2020-04-01
71,233,15,1.068,2020-04-02
72,237,4,1.017,2020-04-03
73,240,3,1.012,2020-04-04
74,241,1,1.004,2020-04-05
75,245,4,1.016,2020-04-06
76,249,4,1.016,2020-04-07
77,251,2,1.008,2020-04-08
78,255,4,1.015,2020-04-09
79,257,2,1.007,2020-04-10
80,258,1,1.003,2020-04-11
81,262,4,1.015,2020-04-12
