day,cases,cases_new,growth,date
43,4,4,1.0,2020-03-05
44,7,3,1.75,2020-03-06
45,16,9,2.285,2020-03-07
46,16,0,1.0,2020-03-08
47,19,3,1.187,2020-03-09
48,26,7,1.368,2020-03-10
49,30,4,1.153,2020-03-11
50,30,0,1.0,2020-03-12
51,31,1,1.033,2020-03-13
52,35,4,1.129,2020-03-14
53,38,3,1.085,2020-03-15
54,38,0,1.0,2020-03-16
55,39,1,1.026,2020-03-17
56,41,2,1.051,2020-03-18
57,44,3,1.073,2020-03-19
58,47,3,1.068,2020-03-20
59,48,1,1.021,2020-03-21
60,52,4,1.083,2020-03-22
61,59,7,1.134,2020-03-23
62,59,0,1.0,2020-03-24
63,59,0,1.0,2020-03-25
64,84,25,1.423,2020-03-26
65,91,7,1.083,2020-03-27
66,98,7,1.076,2020-03-28
67,109,11,1.112,2020-03-29
68,116,7,1.064,2020-03-30
69,119,3,1.025,2020-03-31
70,134,15,1.126,2020-04-01
71,161,27,1.201,2020-04-02
72,194,33,1.204,2020-04-03
73,217,23,1.118,2020-04-04
74,237,20,1.092,2020-04-05
75,254,17,1.071,2020-04-06
76,261,7,1.027,2020-04-07
77,263,2,1.007,2020-04-08
78,263,0,1.0,2020-04-09
79,267,4,1.015,2020-04-10
80,268,1,1.003,2020-04-11
81,271,3,1.011,2020-04-12
82,273,2,1.007,2020-04-13
83,284,11,1.040,2020-04-14
84,291,7,1.024,2020-04-15
85,294,3,1.010,2020-04-16
86,307,13,1.044,2020-04-17
87,313,6,1.019,2020-04-18
88,319,6,1.019,2020-04-19
89,329,10,1.031,2020-04-20
90,329,0,1.0,2020-04-21
91,335,6,1.018,2020-04-22
92,336,1,1.002,2020-04-23
93,340,4,1.011,2020-04-24
94,342,2,1.005,2020-04-25
95,342,0,1.0,2020-04-26
96,342,0,1.0,2020-04-27
97,343,1,1.002,2020-04-28
98,344,1,1.002,2020-04-29
99,344,0,1.0,2020-04-30
100,353,9,1.026,2020-05-01
101,353,0,1.0,2020-05-02
102,353,0,1.0,2020-05-03
103,362,9,1.025,2020-05-04
104,371,9,1.024,2020-05-05
105,374,3,1.008,2020-05-06
106,375,1,1.002,2020-05-07
107,375,0,1.0,2020-05-08
108,375,0,1.0,2020-05-09
109,375,0,1.0,2020-05-10
110,375,0,1.0,2020-05-11
111,375,0,1.0,2020-05-12
112,375,0,1.0,2020-05-13
113,375,0,1.0,2020-05-14
114,375,0,1.0,2020-05-15
115,376,1,1.002,2020-05-16
116,381,5,1.013,2020-05-17
117,388,7,1.018,2020-05-18
118,391,3,1.007,2020-05-19
119,398,7,1.017,2020-05-20
120,423,25,1.062,2020-05-21
121,423,0,1.0,2020-05-22
122,423,0,1.0,2020-05-23
123,423,0,1.0,2020-05-24
