day,cases,cases_new,growth,date
79,1,1,1.0,2020-04-10
80,1,0,1.0,2020-04-11
81,1,0,1.0,2020-04-12
82,1,0,1.0,2020-04-13
83,1,0,1.0,2020-04-14
84,1,0,1.0,2020-04-15
85,1,0,1.0,2020-04-16
86,1,0,1.0,2020-04-17
87,1,0,1.0,2020-04-18
88,1,0,1.0,2020-04-19
89,1,0,1.0,2020-04-20
90,1,0,1.0,2020-04-21
91,1,0,1.0,2020-04-22
92,1,0,1.0,2020-04-23
93,1,0,1.0,2020-04-24
94,1,0,1.0,2020-04-25
95,1,0,1.0,2020-04-26
96,1,0,1.0,2020-04-27
97,1,0,1.0,2020-04-28
98,6,5,6.0,2020-04-29
99,6,0,1.0,2020-04-30
100,7,1,1.166,2020-05-01
101,10,3,1.428,2020-05-02
102,10,0,1.0,2020-05-03
103,12,2,1.2,2020-05-04
104,22,10,1.833,2020-05-05
105,25,3,1.136,2020-05-06
106,25,0,1.0,2020-05-07
107,34,9,1.36,2020-05-08
108,34,0,1.0,2020-05-09
109,51,17,1.5,2020-05-10
110,56,5,1.098,2020-05-11
111,65,9,1.160,2020-05-12
112,70,5,1.076,2020-05-13
113,85,15,1.214,2020-05-14
114,106,21,1.247,2020-05-15
115,122,16,1.150,2020-05-16
116,128,6,1.049,2020-05-17
117,130,2,1.015,2020-05-18
118,167,37,1.284,2020-05-19
119,184,17,1.101,2020-05-20
120,197,13,1.070,2020-05-21
121,209,12,1.060,2020-05-22
122,212,3,1.014,2020-05-23
123,222,10,1.047,2020-05-24
