day,cases,cases_new,growth,date
56,2,2,1.0,2020-03-18
57,2,0,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,3,1,1.5,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,12,9,4.0,2020-03-25
64,16,4,1.333,2020-03-26
65,22,6,1.375,2020-03-27
66,28,6,1.272,2020-03-28
67,29,1,1.035,2020-03-29
68,35,6,1.206,2020-03-30
69,35,0,1.0,2020-03-31
70,36,1,1.028,2020-04-01
71,39,3,1.083,2020-04-02
72,39,0,1.0,2020-04-03
73,39,0,1.0,2020-04-04
74,39,0,1.0,2020-04-05
75,39,0,1.0,2020-04-06
76,39,0,1.0,2020-04-07
77,39,0,1.0,2020-04-08
78,39,0,1.0,2020-04-09
79,40,1,1.025,2020-04-10
80,40,0,1.0,2020-04-11
81,43,3,1.075,2020-04-12
82,45,2,1.046,2020-04-13
83,45,0,1.0,2020-04-14
84,48,3,1.066,2020-04-15
85,48,0,1.0,2020-04-16
86,52,4,1.083,2020-04-17
87,57,5,1.096,2020-04-18
88,61,4,1.070,2020-04-19
89,65,4,1.065,2020-04-20
90,70,5,1.076,2020-04-21
91,74,4,1.057,2020-04-22
92,76,2,1.027,2020-04-23
