day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,3,2,3.0,2020-03-21
60,3,0,1.0,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,3,0,1.0,2020-03-25
64,3,0,1.0,2020-03-26
65,5,2,1.666,2020-03-27
66,7,2,1.4,2020-03-28
67,7,0,1.0,2020-03-29
68,7,0,1.0,2020-03-30
69,8,1,1.142,2020-03-31
70,8,0,1.0,2020-04-01
71,9,1,1.125,2020-04-02
72,9,0,1.0,2020-04-03
73,9,0,1.0,2020-04-04
74,9,0,1.0,2020-04-05
75,10,1,1.111,2020-04-06
76,11,1,1.1,2020-04-07
77,11,0,1.0,2020-04-08
78,11,0,1.0,2020-04-09
79,13,2,1.181,2020-04-10
80,14,1,1.076,2020-04-11
81,14,0,1.0,2020-04-12
82,17,3,1.214,2020-04-13
83,17,0,1.0,2020-04-14
84,23,6,1.352,2020-04-15
85,23,0,1.0,2020-04-16
86,24,1,1.043,2020-04-17
87,25,1,1.041,2020-04-18
88,25,0,1.0,2020-04-19
89,25,0,1.0,2020-04-20
90,28,3,1.12,2020-04-21
91,28,0,1.0,2020-04-22
92,28,0,1.0,2020-04-23
93,29,1,1.035,2020-04-24
94,31,2,1.068,2020-04-25
95,31,0,1.0,2020-04-26
96,32,1,1.032,2020-04-27
97,32,0,1.0,2020-04-28
98,32,0,1.0,2020-04-29
99,40,8,1.25,2020-04-30
100,40,0,1.0,2020-05-01
101,34,-6,0.85,2020-05-02
102,34,0,1.0,2020-05-03
103,34,0,1.0,2020-05-04
104,34,0,1.0,2020-05-05
105,34,0,1.0,2020-05-06
106,34,0,1.0,2020-05-07
107,34,0,1.0,2020-05-08
108,35,1,1.029,2020-05-09
109,36,1,1.028,2020-05-10
110,36,0,1.0,2020-05-11
111,36,0,1.0,2020-05-12
112,37,1,1.027,2020-05-13
113,37,0,1.0,2020-05-14
114,42,5,1.135,2020-05-15
115,42,0,1.0,2020-05-16
116,44,2,1.047,2020-05-17
117,46,2,1.045,2020-05-18
118,46,0,1.0,2020-05-19
119,48,2,1.043,2020-05-20
120,51,3,1.062,2020-05-21
121,51,0,1.0,2020-05-22
122,56,5,1.098,2020-05-23
123,56,0,1.0,2020-05-24
